season,team,opening_day_payroll_usd,wins,prorated_wins,runs_scored,runs_allowed,pyth_wpct,pyth_wins_162,dollars_per_win,predicted_wins,wins_above_expected,season_slope,season_intercept,season_r2,made_playoffs
2008,Colorado Rockies,68655500,74,74.0,747,822,0.4542348204404421,73.58604091135163,927777.027027027,79.6187555309307,-6.0327146195790675,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,Washington Nationals,54961000,59,59.0,641,825,0.383268449378973,62.08948879939363,931542.372881356,77.8013553944524,-15.711866595058773,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,Cleveland Guardians,78970066,81,81.0,805,761,0.5269215127433106,85.36128506441631,974939.086419753,80.76213987172775,4.599145192688553,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,Baltimore Orioles,67196246,68,68.0,782,869,0.4487432898776352,72.69641296017691,988180.088235294,79.44325557247228,-6.746842612295367,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,Cincinnati Reds,74117695,74,74.0,704,800,0.4397154858050366,71.23390870041592,1001590.472972973,80.24411134166904,-9.010202641253116,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,Houston Astros,88930414,86,86.0,712,743,0.4799698316220594,77.75511272277363,1034074.5813953488,81.73248774233303,-3.9773750195594033,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,San Francisco Giants,76594500,72,72.0,640,759,0.4215013898783791,68.28322516029742,1063812.5,80.51263166968707,-12.229406509389648,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,Philadelphia Phillies,98269880,92,92.0,799,680,0.5754756694204274,93.22705844610924,1068150.8695652173,82.54826365744908,10.678794788660156,8.168920142486993,45.07156518163882,0.13383535128936008,True
2008,Toronto Blue Jays,97793900,86,86.0,714,610,0.5714300641168183,92.57167038692457,1137138.3720930233,82.50860054121145,10.063069845713116,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,St. Louis Cardinals,99624449,86,86.0,779,725,0.5339915966871591,86.50663866331978,1158423.8255813953,82.66009646098347,3.846542202336309,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,San Diego Padres,73677616,63,63.0,637,764,0.416376729383851,67.45303016018386,1169485.9682539685,80.19546323764257,-12.742433077458713,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,Los Angeles Angels,119216333,100,100.0,765,697,0.5436462898795382,88.07069896048519,1192163.33,84.12668034476536,3.944018615719827,8.168920142486993,45.07156518163882,0.13383535128936008,True
2008,Chicago Cubs,118345833,97,97.0,855,671,0.6135113575696793,99.38883992628806,1220060.1340206186,84.0668132629738,15.322026663314261,8.168920142486993,45.07156518163882,0.13383535128936008,True
2008,Chicago White Sox,121189332,89,89.0,811,729,0.5505947869757003,89.19635549006345,1361677.8876404497,84.2607673109926,4.935588179070848,8.168920142486993,45.07156518163882,0.13383535128936008,True
2008,Boston Red Sox,133390035,95,95.0,845,694,0.5928216418630499,96.03710598181408,1404105.6315789474,85.04435774676548,10.992748235048595,8.168920142486993,45.07156518163882,0.13383535128936008,True
2008,Los Angeles Dodgers,118588536,84,84.0,700,648,0.5353885235770994,86.73294081949011,1411768.2857142857,84.08354888581445,2.649391933675659,8.168920142486993,45.07156518163882,0.13383535128936008,True
2008,Atlanta Braves,102365683,72,72.0,753,778,0.4844478519330468,78.48055201315358,1421745.5972222222,82.88183300138533,-4.401280988231747,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,New York Mets,137793376,89,89.0,799,715,0.552544649785084,89.51223326518361,1548240.1797752809,85.3096667687669,4.202566496416708,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,Detroit Tigers,137685196,74,74.0,821,857,0.4790262177867657,77.60224728145604,1860610.7567567567,85.30325092436908,-7.701003642913037,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,Seattle Mariners,117666482,61,61.0,671,811,0.4115183561427801,66.66597369513039,1928958.7213114752,84.01978538313811,-17.353811688007724,8.168920142486993,45.07156518163882,0.13383535128936008,False
2008,New York Yankees,209081577,89,89.0,789,727,0.5387936749862813,87.28457534777756,2349231.202247191,88.7158549359064,-1.4312795881288451,8.168920142486993,45.07156518163882,0.13383535128936008,False
2009,Miami Marlins,36814000,87,87.0,772,766,0.5037212149998466,81.60283682997515,423149.4252873563,70.34707033996594,11.255766490009208,13.070029276509132,23.218136598970027,0.22042848960009864,False
