season,team,opening_day_payroll_usd,wins,prorated_wins,runs_scored,runs_allowed,pyth_wpct,pyth_wins_162,dollars_per_win
2004,Chicago Cubs,91101667,89,89.0,789,665,0.579561389924858,93.88894516782699,1023614.2359550562
2004,Philadelphia Phillies,93219167,86,86.0,840,781,0.5352037258781455,86.70300359225956,1083943.8023255814
2004,Los Angeles Angels,101084667,92,92.0,836,734,0.5621049967562367,91.06100947451034,1098746.3804347827
2004,Boston Red Sox,125208542,98,98.0,949,768,0.6026886231201223,97.63555694545981,1277638.1836734693
2004,Seattle Mariners,81543833,63,63.0,698,823,0.4223145037900401,68.4149496139865,1294346.5555555555
2004,Arizona Diamondbacks,70204984,51,51.0,615,899,0.3271633952224121,53.00047002603076,1376568.3137254901
2004,New York Mets,100629303,71,71.0,684,731,0.46909324201082814,75.99310520575416,1417314.1267605633
2004,New York Yankees,182835513,101,101.0,897,808,0.5511543363957283,89.28700249610799,1810252.603960396
2005,Tampa Bay Rays,29893567,67,67.0,750,936,0.39318488102542065,63.69595072611815,446172.6417910448
2005,Cleveland Guardians,41830400,93,93.0,790,642,0.5957356192464394,96.50917031792318,449789.24731182796
2005,Milwaukee Brewers,40234833,81,81.0,726,697,0.5190043476823838,84.07870432454618,496726.3333333333
2005,Toronto Blue Jays,45336500,80,80.0,775,705,0.5445361097390871,88.2148497777321,566706.25
2005,Pittsburgh Pirates,38138000,67,67.0,680,769,0.4425864077362501,71.69899805327252,569223.8805970149
2005,Washington Nationals,48581500,81,81.0,639,673,0.4763949148348832,77.17597620325108,599771.6049382716
2005,Oakland Athletics,55869262,88,88.0,772,658,0.5740804402283309,93.00103131698961,634877.9772727273
2005,Kansas City Royals,36881000,56,56.0,701,935,0.3637002220630242,58.919435974209925,658589.2857142857
2005,Minnesota Twins,56615000,83,83.0,688,662,0.5176911856353897,83.86597207293313,682108.4337349398
2005,Texas Rangers,55307258,79,79.0,865,858,0.504003676136921,81.6485955341812,700091.8734177215
2005,Colorado Rockies,47789000,67,67.0,740,862,0.4268874464013641,69.15576631702099,713268.6567164179
2005,Miami Marlins,60375961,83,83.0,717,732,0.4902937908074964,79.42759411081443,727421.2168674698
2005,Chicago White Sox,75228000,99,99.0,741,645,0.5638777411273218,91.34819406262613,759878.7878787878
2005,San Diego Padres,62888192,82,82.0,684,726,0.47230642247555327,76.51364044103963,766929.1707317074
2005,Cincinnati Reds,59658275,73,73.0,820,889,0.46036606051296397,74.57930180310017,817236.6438356164
2005,Arizona Diamondbacks,63015834,77,77.0,696,856,0.4023255125465957,65.17673303254851,818387.4545454546
2005,Houston Astros,76779022,89,89.0,693,609,0.5584806624251385,90.47386731287244,862685.6404494382
